Company Name,LinkedIn URL,ITRG Status,F27 Account ID18
15Five,https://www.linkedin.com/company/15five,Prospect,001a700000CNE8JAAX
6sense,https://www.linkedin.com/company/6sense,Prospect,0013300001lIywjAAC
Abnormal AI,https://www.linkedin.com/company/abnormalsecurity?trk=ppro_cprof,Prospect,0014y00002ih1QLAAY
Abode Services,https://www.linkedin.com/company/abode-services,Prospect,001f300001v8tZQAAY
Academia.edu,https://www.linkedin.com/company/academia-edu,Prospect,001a7000015pT55AAE
Accel,https://www.linkedin.com/company/accel-vc,Prospect,0014000001Dd3P9AAJ
Achievers LLC,https://www.linkedin.com/company/achievers,Prospect,0014y00002ihJe7AAE
AdColony,https://www.linkedin.com/company/adcolony,Prospect,0014y00002vMlJWAA0
AdRoll,https://www.linkedin.com/company/adroll,Prospect,001a7000015prerAAA
Aehr Test Systems,https://www.linkedin.com/company/aehr-test-systems,Prospect,0014y00002pC2K2AAK
Affinity,https://www.linkedin.com/company/project-affinity,Prospect,001f300001whbquAAA
AIC Inc.,https://www.linkedin.com/company/aicinc,Prospect,0014y00002vMkQDAA0
AiDASH,https://www.linkedin.com/company/aidash,Prospect,0014y00002rSgrTAAS
Airship,https://www.linkedin.com/company/airship-social,Prospect,0014y00002jRoyfAAC
Airtable,https://www.linkedin.com/company/airtable,Prospect,0014y00002WcFbDAAV
Alameda Alliance for Health,https://www.linkedin.com/company/alameda-alliance-for-health,Winback,0014000000VAMSMAA5
Alameda County Water District,https://www.linkedin.com/company/alameda-county-water-district,Winback,0014000000VAOvXAAX
"Alchemy Cloud, Inc.",https://www.linkedin.com/company/alchemyinc,Prospect,0014y00002rSnfAAAS
"Alert Enterprise, Inc.",https://www.linkedin.com/company/alertenterprise,Prospect,0013300001osvjTAAQ
Algolia,https://www.linkedin.com/company/algolia,Prospect,0014y00002588xKAAQ
Algonomy,https://www.linkedin.com/company/algonomysoftware,Prospect,001a7000015psbOAAQ
"Allana Buick & Bers, Inc.",https://www.linkedin.com/company/allana-buick-&-bers-inc.,Prospect,0013300001osvDdAAI
Allbirds,https://www.linkedin.com/company/allbirds,Prospect,001f300001whfhtAAA
AllTrails,https://www.linkedin.com/company/alltrails,Prospect,001a70000032ZQ8AAM
ALOM,https://www.linkedin.com/company/alom-technologies,Prospect,0013300001ospn4AAA
Alpaca,https://www.linkedin.com/company/alpacamarkets,Prospect,0014y00002jSU1NAAW
Alpine Investors,https://www.linkedin.com/company/alpine-investors,Prospect,001f300001v90goAAA
Altamont Capital Partners,https://www.linkedin.com/company/altamont-capital-partners,Prospect,0014000000sIte6AAC
Amax,https://www.linkedin.com/company/amax-engineering,Prospect,0014000000Vt62KAAR
American Academy of Ophthalmology,https://www.linkedin.com/company/american-academy-of-ophthalmology,Prospect,0014000000VALvTAAX
"American Portwell Technology, Inc.",https://www.linkedin.com/company/portwell,Prospect,0013300001lIy2KAAS
Amoroso Construction,https://www.linkedin.com/company/amorosoconstruction,Prospect,0014y00002rSeehAAC
"Amplitude, Inc.",https://www.linkedin.com/company/amplitude-analytics,Prospect,0014y00002ih7OTAAY
"Anchorage Digital, Inc.",https://www.linkedin.com/company/anchorage,Prospect,0014y00002rSj8zAAC
AngelList LLC,https://www.linkedin.com/company/angellist,Prospect,0013300001ot5KZAAY
AnitaB.org,https://www.linkedin.com/company/anitab-org,Prospect,001f300001v8SiFAAU
Antora Energy,https://www.linkedin.com/company/antora-energy,Prospect,001a700000K4e10AAB
AnyRoad,https://www.linkedin.com/company/anyroad,Prospect,0014y00002l7RilAAE
Anyscale,https://www.linkedin.com/company/joinanyscale,Prospect,001a7000015o3j1AAA
Apartment List,https://www.linkedin.com/company/apartment-list,Prospect,0013300001ot50ZAAQ
Apollo GraphQL,https://www.linkedin.com/company/apollo-graphql,Prospect,001f3000022PdoFAAS
AppDirect,https://www.linkedin.com/company/appdirect,Prospect,0014y00002rON47AAG
AppsFlyer,https://www.linkedin.com/company/appsflyerhq,Prospect,0013300001qPtEaAAK
Archetype Agency LLC,https://www.linkedin.com/company/archetypeagcy,Prospect,0013300001qPtPWAA0
Aria Systems,https://www.linkedin.com/company/aria-systems,Prospect,0013300001lNMaHAAW
Arkose Labs,https://www.linkedin.com/company/arkoselabs,Prospect,0014y0000277IjLAAU
ArmorCode Inc.,https://www.linkedin.com/company/armorcode,Prospect,001a7000015ogHbAAI
Armory,https://www.linkedin.com/company/armory.io,Prospect,001f300001v8aR5AAI
Ashby,https://www.linkedin.com/company/ashbyhq,Prospect,0014y00002rU9pOAAS
Asi Computer Technologies Inc,https://www.linkedin.com/company/asi-corporation,Prospect,0014y0000276nAoAAI
Astra,https://www.linkedin.com/company/astraspace,Prospect,0014y00002raYdOAAU
Astranis Space Technologies,https://www.linkedin.com/company/astranis,Prospect,001a700000HIwBsAAL
Athens Administrators,https://www.linkedin.com/company/athens-administrators,Winback,0014000000VAR7SAAX
Augmedix,https://www.linkedin.com/company/augmedixinc,Prospect,0014y00002rSlUXAA0
Aurora Solar,https://www.linkedin.com/company/aurora-solar,Prospect,0014y00002LxVEJAA3
Avenue Code,https://www.linkedin.com/company/avenuecode,Prospect,0014y00002rOaXEAA0
Azul,https://www.linkedin.com/company/azul-systems,Prospect,0014000001DdFFiAAN
B-Stock,https://www.linkedin.com/company/bstocksolutions,Prospect,0013300001osxgLAAQ
"Backblaze, Inc.",https://www.linkedin.com/company/backblaze,Prospect,0013300001lNMllAAG
Bauer's Intelligent Transportation,https://www.linkedin.com/company/bauer's-intelligent-transportation,Prospect,001f300001v95J4AAI
Bay Alarm Company,https://www.linkedin.com/company/bay-alarm-company,Prospect,0014y00002ih7cKAAQ
Bay Area Community Health,https://www.linkedin.com/company/bay-area-community-health,Prospect,0014000000WgaDGAAZ
"Bay Cities Paving & Grading, Inc.",https://www.linkedin.com/company/bay-cities-paving-&-grading,Prospect,0014000000VsDRPAA3
BBAM,https://www.linkedin.com/company/bbam-llc,Prospect,0014y00002ih7LEAAY
BCCI Construction,https://www.linkedin.com/company/bcci,Prospect,0013300001qPtlEAAS
Benchling,https://www.linkedin.com/company/benchling,Prospect,0014y0000255mmLAAQ
BETA Healthcare Group,https://www.linkedin.com/company/beta-healthcare-group,Prospect,001f300001v8iCpAAI
Beyond,https://www.linkedin.com/company/beyond-pricing,Prospect,001f3000022PdpxAAC
Birdeye,https://www.linkedin.com/company/birdeye,Prospect,0014y00002VQIpkAAH
Bista Solutions Inc,https://www.linkedin.com/company/bista-solutions,Prospect,0014y00002rSgmWAAS
Blackmagic Design,https://www.linkedin.com/company/blackmagic-design,Prospect,001a7000015plLNAAY
"Blend Labs, Inc.",https://www.linkedin.com/company/blend-,Prospect,0014y00002ih63FAAQ
Boku,https://www.linkedin.com/company/boku-inc,Prospect,0014y0000258KyjAAE
Booster,https://www.linkedin.com/company/energydelivered,Prospect,0014y00002p8d9kAAA
Branch,https://www.linkedin.com/company/branch-app,Prospect,001a700000K4o0iAAB
Branch International,https://www.linkedin.com/company/branch-co,Prospect,001f300001whZBFAA2
Brave,https://www.linkedin.com/company/brave-software,Prospect,001f300001wha4YAAQ
Bridge Housing Corporation,https://www.linkedin.com/company/bridge-housing-corporation,Prospect,0013300001oswPfAAI
"Bridgebio Pharma, Inc.",https://www.linkedin.com/company/bridgebio,Prospect,0014y00002jRqo3AAC
Bright Machines,https://www.linkedin.com/company/bright-machines,Prospect,001f300001zvNJ5AAM
BrightEdge,https://www.linkedin.com/company/brightedge,Prospect,0014y00002U2quzAAB
Brightline,https://www.linkedin.com/company/hellobrightline,Prospect,0014y00002eZcvTAAS
Brightside Health,https://www.linkedin.com/company/brightsidehealth,Prospect,001a700000K4e1JAAR
BrightTALK,https://www.linkedin.com/company/brighttalk,Prospect,0014000001Dd2v1AAB
Brightwheel,https://www.linkedin.com/company/brightwheel,Prospect,001f300001v8MdzAAE
Brilliant Corners,https://www.linkedin.com/company/brilliant-corners-org,Prospect,001f300001zx4Z0AAI
Brilliant Earth,https://www.linkedin.com/company/brilliantearth,Prospect,001a7000003nbuKAAQ
"Build Group, Inc.",https://www.linkedin.com/company/build-group-inc,Prospect,0013300001lNNBlAAO
BuildingConnected,https://www.linkedin.com/company/autodesk-construction-cloud,Prospect,001f300001whfcnAAA
BuildZoom,https://www.linkedin.com/company/buildzoom,Prospect,001f300001v8KJXAA2
Burning Man Project,https://www.linkedin.com/company/burning-man-project,Prospect,001a700000LEgFFAA1
Byer California,https://www.linkedin.com/company/byer-california,Prospect,0014000000ZqGPKAA3
Bynd LLC,https://www.linkedin.com/company/beyond-technology-consultancy,Prospect,0014y00002rSlLwAAK
Cahill Contractors,https://www.linkedin.com/company/cahill-contractors,Prospect,0013300001qPwfYAAS
"CAI International, Inc.",https://www.linkedin.com/company/cai-international-inc,Prospect,0014000000VsK8nAAF
Calbee America,https://www.linkedin.com/company/calbee-america,Prospect,0014y00002ihODZAA2
California Academy of Sciences,https://www.linkedin.com/company/california-academy-of-sciences,Prospect,0014000000pHL2RAAW
California Casualty,https://www.linkedin.com/company/california-casualty,Prospect,0014y00002rSeR2AAK
Callan,https://www.linkedin.com/company/callan,Prospect,001f300001rUXJgAAO
Caminar,https://www.linkedin.com/company/caminar-inc,Prospect,0014000000Vt548AAB
"Captivateiq, Inc.",https://www.linkedin.com/company/captivateiq,Prospect,0014y00002dKcTAAA0
Carbon,https://www.linkedin.com/company/carbon,Prospect,001f300001v8CaaAAE
Carbon Health,https://www.linkedin.com/company/carbon-health,Prospect,001a7000003ngAYAAY
Catchpoint,https://www.linkedin.com/company/catchpoint,Prospect,0014y00002rSlJLAA0
Catholic Charities SF,https://www.linkedin.com/company/catholiccharitiessf,Prospect,0014y00002jRqlMAAS
Center for Social Dynamics,https://www.linkedin.com/company/center-for-social-dynamics,Prospect,001f300001v8FCFAA2
Cerus,https://www.linkedin.com/company/cerus,Prospect,0014y0000276nxfAAA
Chartboost,https://www.linkedin.com/company/chartboost,Prospect,0014y00002rSg0lAAC
Cherry,https://www.linkedin.com/company/withcherryus,Prospect,001a700000K9HesAAF
Chinese Hospital Association,https://www.linkedin.com/company/chinese-hospital,Prospect,0013300001lNNY2AAO
Chipper Cash,https://www.linkedin.com/company/chippercash,Prospect,0014y00002pBNoCAAW
Chronicle Books,https://www.linkedin.com/company/chronicle-books,Prospect,0014000000Vs4sRAAR
CircleCI,https://www.linkedin.com/company/circleci,Prospect,001f300001v8uipAAA
Clari,https://www.linkedin.com/company/clari,Prospect,0013300001dwYxaAAE
Clarify Health Solutions,https://www.linkedin.com/company/clarify-health-solutions,Prospect,001f300001v8WS5AAM
"ClassDojo, Inc. (Class Twist, Inc.)",https://www.linkedin.com/company/classdojo,Prospect,0014y0000259rKFAAY
Clever Inc.,https://www.linkedin.com/company/clever-inc-,Prospect,0013300001lIxIaAAK
ClimateWorks Foundation,https://www.linkedin.com/company/climateworks,Prospect,0014y00002p9MgVAAU
Cloudian Inc,https://www.linkedin.com/company/cloudian-inc,Prospect,0013300001qPyPGAA0
Cobalt,https://www.linkedin.com/company/cobalt_io,Prospect,0014y00002dJd5jAAC
Coblentz Patch Duffy & Bass LLP,https://www.linkedin.com/company/coblentz-patch-duffy-and-bass-llp,Winback,0014000000VANzMAAX
CodeSignal,https://www.linkedin.com/company/codesignal,Prospect,0014y00002vMkcOAAS
Coefficient Giving,https://www.linkedin.com/company/open-philanthropy,Prospect,001a700000LEtT7AAL
Collectively,https://www.linkedin.com/company/collectively-inc,Prospect,0014y00002rUGtoAAG
Computerworld,https://www.linkedin.com/company/computerworld,Prospect,0014y00002l7BaRAAU
Constructor.io,https://www.linkedin.com/company/constructor-io,Prospect,001a700000K96EPAAZ
Contra Costa Water District,https://www.linkedin.com/company/contra-costa-water-district,Prospect,0014000000VALtnAAH
ControlUp,https://www.linkedin.com/company/controlup-technology,Prospect,001f300001whdfVAAQ
Conviva,https://www.linkedin.com/company/conviva,Prospect,0014y000025Al4cAAC
Copper,https://www.linkedin.com/company/copper-inc,Prospect,001f300001v8xmyAAA
Corelight,https://www.linkedin.com/company/corelight,Prospect,001f300001v8yN3AAI
Craigslist,https://www.linkedin.com/company/craigslist,Prospect,0014000000ZqG5wAAF
Cresta,https://www.linkedin.com/company/cresta-inc,Prospect,001f3000022Pdu9AAC
Crunchbase,https://www.linkedin.com/company/crunchbase,Prospect,0013300001ot5KOAAY
Crystal Dynamics,https://www.linkedin.com/company/crystal-dynamics,Prospect,001f300001v99QGAAY
Culture Amp,https://www.linkedin.com/company/cultureamp,Prospect,0014y00002vMl1GAAS
"Cyberhaven, Inc.",https://www.linkedin.com/company/cyberhaven,Prospect,001a700000ClrMvAAJ
"Cytek Biosciences, Inc.",https://www.linkedin.com/company/cytek-biosciences,Prospect,0014y00002U4SexAAF
Data.ai (by Sensor Tower),https://www.linkedin.com/company/dataai,Prospect,0014y00003OU67rAAD
Databook,https://www.linkedin.com/company/databook-labs-inc.,Prospect,001f300001whYx9AAE
DCL Logistics,https://www.linkedin.com/company/dcl,Prospect,001f300001whdnZAAQ
Deepgram,https://www.linkedin.com/company/deepgram,Prospect,0014y00002lwi3EAAQ
Deepwatch,https://www.linkedin.com/company/deepwatchsec,Prospect,001a700000K4J58AAF
Degenkolb Engineers,https://www.linkedin.com/company/degenkolb-engineers,Winback,0014000000VAOdlAAH
Delfi Diagnostics,https://www.linkedin.com/company/delfi-diagnostics,Prospect,0014y00002ltVlmAAE
Delinea,https://www.linkedin.com/company/delinea,Prospect,0014000000bxAiJAAU
